"Comment","Designator","Footprint","LCSC Part #"
"100n","C203,C205,C208,C301,C401","C_0805_2012Metric","C28233"
"10u","C101,C201,C202","C_1206_3216Metric","C13585"
"22u","C206,C207","C_1206_3216Metric","C12891"
"100u / 25V","C102,C103,C104","CP_EIA-7343-43_Kemet-X","C132558"
"LED","D101,D102","LED_0805_2012Metric","C84256"
"1k","R102","R_0805_2012Metric","C17513"
"2k2","R101","R_0805_2012Metric","C17520"
"INA226","U301,U401","VSSOP-10_3x3mm_P0.5mm","C49851"
