"Comment","Designator","Footprint","LCSC Part #"
"100nF","C103,C104,C105,C106,C107,C108","C_0805_2012Metric","C28233"
"10uF","C101,C102","C_0805_2012Metric","C13585"
"2k7","R103","R_0805_2012Metric","C352230"
"FE1.1s","U102","SSOP-28_3.9x9.9mm_P0.635mm","C6706491"
"USBLC6-2SC6","U101,U103,U104,U105,U106","SOT-666","C2827654"
"12MHz","Y101","M49S-SMD","C2983432"
